Datetime,Motorcycle,Car,Truck_Lorry,Bus,Date,Is_Holiday,Day_Of_Week,Is_Weekend,Hour,Month
1/1/2024 0:00,77,291,0,0,1/1/2024,1,0,0,0,1
1/1/2024 1:00,102,291,0,0,1/1/2024,1,0,0,1,1
1/1/2024 2:00,161,383,0,0,1/1/2024,1,0,0,2,1
1/1/2024 3:00,90,287,0,0,1/1/2024,1,0,0,3,1
1/1/2024 4:00,113,301,1,0,1/1/2024,1,0,0,4,1
1/1/2024 5:00,176,378,2,0,1/1/2024,1,0,0,5,1
1/1/2024 6:00,165,380,2,0,1/1/2024,1,0,0,6,1
1/1/2024 7:00,99,297,2,0,1/1/2024,1,0,0,7,1
1/1/2024 8:00,86,285,2,0,1/1/2024,1,0,0,8,1
1/1/2024 9:00,163,360,2,0,1/1/2024,1,0,0,9,1
1/1/2024 10:00,147,365,2,0,1/1/2024,1,0,0,10,1
1/1/2024 11:00,124,319,2,0,1/1/2024,1,0,0,11,1
1/1/2024 12:00,124,306,2,1,1/1/2024,1,0,0,12,1
1/1/2024 13:00,160,370,2,1,1/1/2024,1,0,0,13,1
1/1/2024 14:00,150,352,2,1,1/1/2024,1,0,0,14,1
1/1/2024 15:00,70,253,2,1,1/1/2024,1,0,0,15,1
1/1/2024 16:00,87,273,2,1,1/1/2024,1,0,0,16,1
1/1/2024 17:00,77,274,2,2,1/1/2024,1,0,0,17,1
1/1/2024 18:00,163,363,3,3,1/1/2024,1,0,0,18,1
1/1/2024 19:00,174,394,3,3,1/1/2024,1,0,0,19,1
1/1/2024 20:00,100,304,2,2,1/1/2024,1,0,0,20,1
1/1/2024 21:00,199,415,2,2,1/1/2024,1,0,0,21,1
1/1/2024 22:00,134,323,2,2,1/1/2024,1,0,0,22,1
1/1/2024 23:00,127,331,2,2,1/1/2024,1,0,0,23,1
2/1/2024 0:00,41,364,1,0,2/1/2024,0,1,0,0,1
2/1/2024 1:00,23,139,1,0,2/1/2024,0,1,0,1,1
2/1/2024 2:00,35,339,1,0,2/1/2024,0,1,0,2,1
2/1/2024 3:00,55,493,1,0,2/1/2024,0,1,0,3,1
2/1/2024 4:00,62,465,1,0,2/1/2024,0,1,0,4,1
2/1/2024 5:00,32,199,1,0,2/1/2024,0,1,0,5,1
2/1/2024 6:00,57,519,2,0,2/1/2024,0,1,0,6,1
2/1/2024 7:00,31,258,1,0,2/1/2024,0,1,0,7,1
2/1/2024 8:00,37,244,1,0,2/1/2024,0,1,0,8,1
2/1/2024 9:00,20,159,1,0,2/1/2024,0,1,0,9,1
2/1/2024 10:00,58,533,1,0,2/1/2024,0,1,0,10,1
2/1/2024 11:00,58,420,1,0,2/1/2024,0,1,0,11,1
2/1/2024 12:00,50,351,2,0,2/1/2024,0,1,0,12,1
2/1/2024 13:00,50,483,2,0,2/1/2024,0,1,0,13,1
2/1/2024 14:00,37,342,2,0,2/1/2024,0,1,0,14,1
2/1/2024 15:00,54,348,2,0,2/1/2024,0,1,0,15,1
2/1/2024 16:00,42,273,2,0,2/1/2024,0,1,0,16,1
2/1/2024 17:00,34,182,2,0,2/1/2024,0,1,0,17,1
2/1/2024 18:00,48,434,2,0,2/1/2024,0,1,0,18,1
2/1/2024 19:00,34,194,3,0,2/1/2024,0,1,0,19,1
2/1/2024 20:00,56,415,2,0,2/1/2024,0,1,0,20,1
2/1/2024 21:00,56,467,3,0,2/1/2024,0,1,0,21,1
2/1/2024 22:00,30,231,3,0,2/1/2024,0,1,0,22,1
2/1/2024 23:00,52,449,3,0,2/1/2024,0,1,0,23,1
3/1/2024 0:00,148,597,4,0,3/1/2024,0,2,0,0,1
3/1/2024 1:00,185,553,7,0,3/1/2024,0,2,0,1,1
3/1/2024 2:00,129,478,6,0,3/1/2024,0,2,0,2,1
3/1/2024 3:00,127,316,5,0,3/1/2024,0,2,0,3,1
3/1/2024 4:00,221,646,6,0,3/1/2024,0,2,0,4,1
3/1/2024 5:00,93,268,5,0,3/1/2024,0,2,0,5,1
3/1/2024 6:00,80,202,5,0,3/1/2024,0,2,0,6,1
3/1/2024 7:00,117,351,6,0,3/1/2024,0,2,0,7,1
3/1/2024 8:00,83,226,5,0,3/1/2024,0,2,0,8,1
3/1/2024 9:00,141,554,5,0,3/1/2024,0,2,0,9,1
3/1/2024 10:00,146,374,5,0,3/1/2024,0,2,0,10,1
3/1/2024 11:00,128,345,5,0,3/1/2024,0,2,0,11,1
3/1/2024 12:00,128,477,6,0,3/1/2024,0,2,0,12,1
3/1/2024 13:00,214,654,6,0,3/1/2024,0,2,0,13,1
3/1/2024 14:00,146,435,6,0,3/1/2024,0,2,0,14,1
3/1/2024 15:00,68,250,7,0,3/1/2024,0,2,0,15,1
3/1/2024 16:00,127,305,6,0,3/1/2024,0,2,0,16,1
3/1/2024 17:00,166,495,7,0,3/1/2024,0,2,0,17,1
3/1/2024 18:00,222,783,7,0,3/1/2024,0,2,0,18,1
3/1/2024 19:00,143,375,7,0,3/1/2024,0,2,0,19,1
3/1/2024 20:00,143,562,6,0,3/1/2024,0,2,0,20,1
3/1/2024 21:00,232,811,7,0,3/1/2024,0,2,0,21,1
3/1/2024 22:00,140,513,7,0,3/1/2024,0,2,0,22,1
3/1/2024 23:00,125,398,7,0,3/1/2024,0,2,0,23,1
4/1/2024 0:00,151,416,7,0,4/1/2024,0,3,0,0,1
4/1/2024 1:00,153,527,6,0,4/1/2024,0,3,0,1,1
4/1/2024 2:00,143,495,6,0,4/1/2024,0,3,0,2,1
4/1/2024 3:00,173,503,7,0,4/1/2024,0,3,0,3,1
4/1/2024 4:00,81,183,6,0,4/1/2024,0,3,0,4,1
4/1/2024 5:00,59,200,7,0,4/1/2024,0,3,0,5,1
