Datetime,Motorcycle,Car,Truck_Lorry,Bus,Is_Holiday,Day_Of_Week,Is_Weekend,Hour,Month,Temperature_2m,Relative_Humidity_2m,Weathercode,Windspeed_10m,Congestion_Score,Congestion_Percentage
1/1/2024 0:00,77,291,0,0,1,0,0,0,1,25.3,92,3,5.9,329.5,9.078385453
1/1/2024 1:00,102,291,0,0,1,0,0,1,1,25,91,3,6.3,342,9.422785508
1/1/2024 2:00,161,383,0,0,1,0,0,2,1,24.7,93,1,7.5,463.5,12.77035404
1/1/2024 3:00,90,287,0,0,1,0,0,3,1,24.5,94,2,8.4,332,9.147265464
1/1/2024 4:00,113,301,1,0,1,0,0,4,1,24.3,94,2,9.7,359,9.891169583
1/1/2024 5:00,176,378,2,0,1,0,0,5,1,24.1,95,3,9.3,469,12.92189007
1/1/2024 6:00,165,380,2,0,1,0,0,6,1,23.9,96,3,9.7,465.5,12.82545805
1/1/2024 7:00,99,297,2,0,1,0,0,7,1,23.6,97,3,8.2,349.5,9.629425541
1/1/2024 8:00,86,285,2,0,1,0,0,8,1,24.1,95,3,8.4,331,9.119713459
1/1/2024 9:00,163,360,2,0,1,0,0,9,1,26.4,89,3,8.9,444.5,12.24686596
1/1/2024 10:00,147,365,2,0,1,0,0,10,1,28.1,79,3,11.3,441.5,12.16420995
1/1/2024 11:00,124,319,2,0,1,0,0,11,1,29.4,72,3,12.4,384,10.57996969
1/1/2024 12:00,124,306,2,1,1,0,0,12,1,30.3,68,3,14,373,10.27689764
1/1/2024 13:00,160,370,2,1,1,0,0,13,1,30.8,66,51,12.4,455,12.53616201
1/1/2024 14:00,150,352,2,1,1,0,0,14,1,31.1,66,3,14.1,432,11.9024659
1/1/2024 15:00,70,253,2,1,1,0,0,15,1,31,64,51,13.3,293,8.072737292
1/1/2024 16:00,87,273,2,1,1,0,0,16,1,30.4,68,51,8.7,321.5,8.857969417
1/1/2024 17:00,77,274,2,2,1,0,0,17,1,28,79,51,11.3,319.5,8.802865408
1/1/2024 18:00,163,363,3,3,1,0,0,18,1,27.4,83,3,8.5,455,12.53616201
1/1/2024 19:00,174,394,3,3,1,0,0,19,1,26.9,85,3,5.6,491.5,13.54181017
1/1/2024 20:00,100,304,2,2,1,0,0,20,1,26.2,91,3,3.1,361,9.946273591
1/1/2024 21:00,199,415,2,2,1,0,0,21,1,26.2,91,3,5.9,521.5,14.3683703
1/1/2024 22:00,134,323,2,2,1,0,0,22,1,25.8,93,3,4.7,397,10.93814575
1/1/2024 23:00,127,331,2,2,1,0,0,23,1,25.5,95,3,4.2,401.5,11.06212977
2/1/2024 0:00,41,364,1,0,0,1,0,0,1,25.2,95,3,3.8,386,10.6350737
2/1/2024 1:00,23,139,1,0,0,1,0,1,1,24.8,96,3,4.2,152,4.18790467
2/1/2024 2:00,35,339,1,0,0,1,0,2,1,24.6,95,3,4.6,358,9.863617578
2/1/2024 3:00,55,493,1,0,0,1,0,3,1,24.7,95,3,8.2,522,14.3821463
2/1/2024 4:00,62,465,1,0,0,1,0,4,1,24.5,96,3,9.2,497.5,13.70712219
2/1/2024 5:00,32,199,1,0,0,1,0,5,1,24.4,96,3,8.7,216.5,5.965008954
