Date,Day,Holiday Name,Link,Description
1/1/2024,Mon,New Year's Day,https://kalendarmalaysia.com/new-years-day/,"National except Johor, Kedah, Kelantan, Perlis & Terengganu"
14/1/2024,Sun,YDPB Negeri Sembilan's Birthday,https://kalendarmalaysia.com/ydpb-negeri-sembilans-birthday/,Negeri Sembilan
15/1/2024,Mon,YDPB Negeri Sembilan's Birthday (Replacement Holiday),https://kalendarmalaysia.com/ydpb-negeri-sembilans-birthday/,Negeri Sembilan
25/1/2024,Thu,Thaipusam,https://kalendarmalaysia.com/thaipusam/,"Johor, Kuala Lumpur, Negeri Sembilan, Penang, Perak, Putrajaya & Selangor"
1/2/2024,Thu,Federal Territory Day,https://kalendarmalaysia.com/federal-territory-day/,"Kuala Lumpur, Labuan & Putrajaya"
8/2/2024,Thu,Israk and Mikraj,https://kalendarmalaysia.com/israk-and-mikraj/,"Kedah, Negeri Sembilan, Perlis & Terengganu"
10/2/2024,Sat,Chinese New Year,https://kalendarmalaysia.com/chinese-new-year/,National
11/2/2024,Sun,Chinese New Year (2nd Day),https://kalendarmalaysia.com/chinese-new-year/,National
12/2/2024,Mon,Chinese New Year (Replacement Holiday),https://kalendarmalaysia.com/chinese-new-year/,"National except Johor, Kedah, Kelantan & Terengganu"
20/2/2024,Tue,Declaration Date of Independence of Melaka,https://kalendarmalaysia.com/declaration-date-of-independence-of-melaka/,Melaka
4/3/2024,Mon,Installation of Sultan Terengganu,https://kalendarmalaysia.com/installation-anniversary-of-sultan-terengganu/,Terengganu
12/3/2024,Tue,Awal Ramadan,https://kalendarmalaysia.com/awal-ramadan/,"Johor, Kedah & Melaka"
23/3/2024,Sat,Sultan of Johor’s Birthday,https://kalendarmalaysia.com/sultan-of-johors-birthday/,Johor
28/3/2024,Thu,Nuzul Al-Quran,https://kalendarmalaysia.com/nuzul-al-quran/,"National except Johor, Kedah, Melaka, Negeri Sembilan, Sabah & Sarawak"
29/3/2024,Fri,Good Friday,https://kalendarmalaysia.com/good-friday/,Sabah & Sarawak
10/4/2024,Wed,Hari Raya Aidilfitri,https://kalendarmalaysia.com/hari-raya-aidilfitri/,National
11/4/2024,Thu,Hari Raya Aidilfitri (2nd Day),https://kalendarmalaysia.com/hari-raya-aidilfitri/,National
26/4/2024,Fri,Sultan of Terengganu’s Birthday,https://kalendarmalaysia.com/sultan-of-terengganus-birthday/,Terengganu
1/5/2024,Wed,Labour Day,https://kalendarmalaysia.com/labour-day/,National
17/5/2024,Fri,Raja Perlis' Birthday,https://kalendarmalaysia.com/raja-perlis-birthday/,Perlis
22/5/2024,Wed,Hari Hol Pahang,https://kalendarmalaysia.com/hari-hol-pahang/,Pahang
22/5/2024,Wed,Wesak Day,https://kalendarmalaysia.com/wesak-day/,National
30/5/2024,Thu,Harvest Festival,https://kalendarmalaysia.com/harvest-festival/,Labuan & Sabah
31/5/2024,Fri,Harvest Festival (2nd Day),https://kalendarmalaysia.com/harvest-festival/,Labuan & Sabah
1/6/2024,Sat,Hari Gawai,https://kalendarmalaysia.com/hari-gawai/,Sarawak
2/6/2024,Sun,Hari Gawai (2nd Day),https://kalendarmalaysia.com/hari-gawai/,Sarawak
